 initial time = 0 i,j,x(i),y(j),T(i,j)
           0           0 -0.53125000000000000      -0.53125000000000000        1.0000000000000000     
           1           0 -0.46875000000000000      -0.53125000000000000        1.0000000000000000     
           2           0 -0.40625000000000000      -0.53125000000000000        1.0000000000000000     
           3           0 -0.34375000000000000      -0.53125000000000000        1.0000000000000000     
           4           0 -0.28125000000000000      -0.53125000000000000        1.0000000000000000     
           5           0 -0.21875000000000000      -0.53125000000000000        1.0000000000000000     
           6           0 -0.15625000000000000      -0.53125000000000000        1.0000000000000000     
           7           0  -9.3750000000000000E-002 -0.53125000000000000        1.0000000000000000     
           8           0  -3.1250000000000000E-002 -0.53125000000000000        1.0000000000000000     
           9           0   3.1250000000000000E-002 -0.53125000000000000        1.0000000000000000     
          10           0   9.3750000000000000E-002 -0.53125000000000000        1.0000000000000000     
          11           0  0.15625000000000000      -0.53125000000000000        1.0000000000000000     
          12           0  0.21875000000000000      -0.53125000000000000        1.0000000000000000     
          13           0  0.28125000000000000      -0.53125000000000000        1.0000000000000000     
          14           0  0.34375000000000000      -0.53125000000000000        1.0000000000000000     
          15           0  0.40625000000000000      -0.53125000000000000        1.0000000000000000     
          16           0  0.46875000000000000      -0.53125000000000000        1.0000000000000000     
          17           0  0.53125000000000000      -0.53125000000000000        1.0000000000000000     
           0           1 -0.53125000000000000      -0.46875000000000000        1.0000000000000000     
           1           1 -0.46875000000000000      -0.46875000000000000        1.0000000000000000     
           2           1 -0.40625000000000000      -0.46875000000000000        1.0000000000000000     
           3           1 -0.34375000000000000      -0.46875000000000000        1.0000000000000000     
           4           1 -0.28125000000000000      -0.46875000000000000        1.0000000000000000     
           5           1 -0.21875000000000000      -0.46875000000000000        1.0000000000000000     
           6           1 -0.15625000000000000      -0.46875000000000000        1.0000000000000000     
           7           1  -9.3750000000000000E-002 -0.46875000000000000        1.0000000000000000     
           8           1  -3.1250000000000000E-002 -0.46875000000000000        1.0000000000000000     
           9           1   3.1250000000000000E-002 -0.46875000000000000        1.0000000000000000     
          10           1   9.3750000000000000E-002 -0.46875000000000000        1.0000000000000000     
          11           1  0.15625000000000000      -0.46875000000000000        1.0000000000000000     
          12           1  0.21875000000000000      -0.46875000000000000        1.0000000000000000     
          13           1  0.28125000000000000      -0.46875000000000000        1.0000000000000000     
          14           1  0.34375000000000000      -0.46875000000000000        1.0000000000000000     
          15           1  0.40625000000000000      -0.46875000000000000        1.0000000000000000     
          16           1  0.46875000000000000      -0.46875000000000000        1.0000000000000000     
          17           1  0.53125000000000000      -0.46875000000000000        1.0000000000000000     
           0           2 -0.53125000000000000      -0.40625000000000000        1.0000000000000000     
           1           2 -0.46875000000000000      -0.40625000000000000        1.0000000000000000     
           2           2 -0.40625000000000000      -0.40625000000000000        1.0000000000000000     
           3           2 -0.34375000000000000      -0.40625000000000000        1.0000000000000000     
           4           2 -0.28125000000000000      -0.40625000000000000        1.0000000000000000     
           5           2 -0.21875000000000000      -0.40625000000000000        1.0000000000000000     
           6           2 -0.15625000000000000      -0.40625000000000000        1.0000000000000000     
           7           2  -9.3750000000000000E-002 -0.40625000000000000        1.0000000000000000     
           8           2  -3.1250000000000000E-002 -0.40625000000000000        1.0000000000000000     
           9           2   3.1250000000000000E-002 -0.40625000000000000        1.0000000000000000     
          10           2   9.3750000000000000E-002 -0.40625000000000000        1.0000000000000000     
          11           2  0.15625000000000000      -0.40625000000000000        1.0000000000000000     
          12           2  0.21875000000000000      -0.40625000000000000        1.0000000000000000     
          13           2  0.28125000000000000      -0.40625000000000000        1.0000000000000000     
          14           2  0.34375000000000000      -0.40625000000000000        1.0000000000000000     
          15           2  0.40625000000000000      -0.40625000000000000        1.0000000000000000     
          16           2  0.46875000000000000      -0.40625000000000000        1.0000000000000000     
          17           2  0.53125000000000000      -0.40625000000000000        1.0000000000000000     
           0           3 -0.53125000000000000      -0.34375000000000000        1.0000000000000000     
           1           3 -0.46875000000000000      -0.34375000000000000        1.0000000000000000     
           2           3 -0.40625000000000000      -0.34375000000000000        1.0000000000000000     
           3           3 -0.34375000000000000      -0.34375000000000000        1.0000000000000000     
           4           3 -0.28125000000000000      -0.34375000000000000        1.0000000000000000     
           5           3 -0.21875000000000000      -0.34375000000000000        1.0000000000000000     
           6           3 -0.15625000000000000      -0.34375000000000000        1.0000000000000000     
           7           3  -9.3750000000000000E-002 -0.34375000000000000        1.0000000000000000     
           8           3  -3.1250000000000000E-002 -0.34375000000000000        1.0000000000000000     
           9           3   3.1250000000000000E-002 -0.34375000000000000        1.0000000000000000     
          10           3   9.3750000000000000E-002 -0.34375000000000000        1.0000000000000000     
          11           3  0.15625000000000000      -0.34375000000000000        1.0000000000000000     
          12           3  0.21875000000000000      -0.34375000000000000        1.0000000000000000     
          13           3  0.28125000000000000      -0.34375000000000000        1.0000000000000000     
          14           3  0.34375000000000000      -0.34375000000000000        1.0000000000000000     
          15           3  0.40625000000000000      -0.34375000000000000        1.0000000000000000     
          16           3  0.46875000000000000      -0.34375000000000000        1.0000000000000000     
          17           3  0.53125000000000000      -0.34375000000000000        1.0000000000000000     
           0           4 -0.53125000000000000      -0.28125000000000000        1.0000000000000000     
           1           4 -0.46875000000000000      -0.28125000000000000        1.0000000000000000     
           2           4 -0.40625000000000000      -0.28125000000000000        1.0000000000000000     
           3           4 -0.34375000000000000      -0.28125000000000000        1.0000000000000000     
           4           4 -0.28125000000000000      -0.28125000000000000        1.0000000000000000     
           5           4 -0.21875000000000000      -0.28125000000000000        1.0000000000000000     
           6           4 -0.15625000000000000      -0.28125000000000000        1.0000000000000000     
           7           4  -9.3750000000000000E-002 -0.28125000000000000        1.0000000000000000     
           8           4  -3.1250000000000000E-002 -0.28125000000000000        1.0000000000000000     
           9           4   3.1250000000000000E-002 -0.28125000000000000        1.0000000000000000     
          10           4   9.3750000000000000E-002 -0.28125000000000000        1.0000000000000000     
          11           4  0.15625000000000000      -0.28125000000000000        1.0000000000000000     
          12           4  0.21875000000000000      -0.28125000000000000        1.0000000000000000     
          13           4  0.28125000000000000      -0.28125000000000000        1.0000000000000000     
          14           4  0.34375000000000000      -0.28125000000000000        1.0000000000000000     
          15           4  0.40625000000000000      -0.28125000000000000        1.0000000000000000     
          16           4  0.46875000000000000      -0.28125000000000000        1.0000000000000000     
          17           4  0.53125000000000000      -0.28125000000000000        1.0000000000000000     
           0           5 -0.53125000000000000      -0.21875000000000000        1.0000000000000000     
           1           5 -0.46875000000000000      -0.21875000000000000        1.0000000000000000     
           2           5 -0.40625000000000000      -0.21875000000000000        1.0000000000000000     
           3           5 -0.34375000000000000      -0.21875000000000000        1.0000000000000000     
           4           5 -0.28125000000000000      -0.21875000000000000        1.0000000000000000     
           5           5 -0.21875000000000000      -0.21875000000000000        1.0000000000000000     
           6           5 -0.15625000000000000      -0.21875000000000000        1.0000000000000000     
           7           5  -9.3750000000000000E-002 -0.21875000000000000        1.0000000000000000     
           8           5  -3.1250000000000000E-002 -0.21875000000000000        1.0000000000000000     
           9           5   3.1250000000000000E-002 -0.21875000000000000        1.0000000000000000     
          10           5   9.3750000000000000E-002 -0.21875000000000000        1.0000000000000000     
          11           5  0.15625000000000000      -0.21875000000000000        1.0000000000000000     
          12           5  0.21875000000000000      -0.21875000000000000        1.0000000000000000     
          13           5  0.28125000000000000      -0.21875000000000000        1.0000000000000000     
          14           5  0.34375000000000000      -0.21875000000000000        1.0000000000000000     
          15           5  0.40625000000000000      -0.21875000000000000        1.0000000000000000     
          16           5  0.46875000000000000      -0.21875000000000000        1.0000000000000000     
          17           5  0.53125000000000000      -0.21875000000000000        1.0000000000000000     
           0           6 -0.53125000000000000      -0.15625000000000000        1.0000000000000000     
           1           6 -0.46875000000000000      -0.15625000000000000        1.0000000000000000     
           2           6 -0.40625000000000000      -0.15625000000000000        1.0000000000000000     
           3           6 -0.34375000000000000      -0.15625000000000000        1.0000000000000000     
           4           6 -0.28125000000000000      -0.15625000000000000        1.0000000000000000     
           5           6 -0.21875000000000000      -0.15625000000000000        1.0000000000000000     
           6           6 -0.15625000000000000      -0.15625000000000000        1.0000000000000000     
           7           6  -9.3750000000000000E-002 -0.15625000000000000        1.0000000000000000     
           8           6  -3.1250000000000000E-002 -0.15625000000000000        1.0000000000000000     
           9           6   3.1250000000000000E-002 -0.15625000000000000        1.0000000000000000     
          10           6   9.3750000000000000E-002 -0.15625000000000000        1.0000000000000000     
          11           6  0.15625000000000000      -0.15625000000000000        1.0000000000000000     
          12           6  0.21875000000000000      -0.15625000000000000        1.0000000000000000     
          13           6  0.28125000000000000      -0.15625000000000000        1.0000000000000000     
          14           6  0.34375000000000000      -0.15625000000000000        1.0000000000000000     
          15           6  0.40625000000000000      -0.15625000000000000        1.0000000000000000     
          16           6  0.46875000000000000      -0.15625000000000000        1.0000000000000000     
          17           6  0.53125000000000000      -0.15625000000000000        1.0000000000000000     
           0           7 -0.53125000000000000       -9.3750000000000000E-002   1.0000000000000000     
           1           7 -0.46875000000000000       -9.3750000000000000E-002   1.0000000000000000     
           2           7 -0.40625000000000000       -9.3750000000000000E-002   1.0000000000000000     
           3           7 -0.34375000000000000       -9.3750000000000000E-002   1.0000000000000000     
           4           7 -0.28125000000000000       -9.3750000000000000E-002   1.0000000000000000     
           5           7 -0.21875000000000000       -9.3750000000000000E-002   1.0000000000000000     
           6           7 -0.15625000000000000       -9.3750000000000000E-002   1.0000000000000000     
           7           7  -9.3750000000000000E-002  -9.3750000000000000E-002   1.0000000000000000     
           8           7  -3.1250000000000000E-002  -9.3750000000000000E-002   1.0000000000000000     
           9           7   3.1250000000000000E-002  -9.3750000000000000E-002   1.0000000000000000     
          10           7   9.3750000000000000E-002  -9.3750000000000000E-002   1.0000000000000000     
          11           7  0.15625000000000000       -9.3750000000000000E-002   1.0000000000000000     
          12           7  0.21875000000000000       -9.3750000000000000E-002   1.0000000000000000     
          13           7  0.28125000000000000       -9.3750000000000000E-002   1.0000000000000000     
          14           7  0.34375000000000000       -9.3750000000000000E-002   1.0000000000000000     
          15           7  0.40625000000000000       -9.3750000000000000E-002   1.0000000000000000     
          16           7  0.46875000000000000       -9.3750000000000000E-002   1.0000000000000000     
          17           7  0.53125000000000000       -9.3750000000000000E-002   1.0000000000000000     
           0           8 -0.53125000000000000       -3.1250000000000000E-002   1.0000000000000000     
           1           8 -0.46875000000000000       -3.1250000000000000E-002   1.0000000000000000     
           2           8 -0.40625000000000000       -3.1250000000000000E-002   1.0000000000000000     
           3           8 -0.34375000000000000       -3.1250000000000000E-002   1.0000000000000000     
           4           8 -0.28125000000000000       -3.1250000000000000E-002   1.0000000000000000     
           5           8 -0.21875000000000000       -3.1250000000000000E-002   1.0000000000000000     
           6           8 -0.15625000000000000       -3.1250000000000000E-002   1.0000000000000000     
           7           8  -9.3750000000000000E-002  -3.1250000000000000E-002   1.0000000000000000     
           8           8  -3.1250000000000000E-002  -3.1250000000000000E-002   1.0000000000000000     
           9           8   3.1250000000000000E-002  -3.1250000000000000E-002   1.0000000000000000     
          10           8   9.3750000000000000E-002  -3.1250000000000000E-002   1.0000000000000000     
          11           8  0.15625000000000000       -3.1250000000000000E-002   1.0000000000000000     
          12           8  0.21875000000000000       -3.1250000000000000E-002   1.0000000000000000     
          13           8  0.28125000000000000       -3.1250000000000000E-002   1.0000000000000000     
          14           8  0.34375000000000000       -3.1250000000000000E-002   1.0000000000000000     
          15           8  0.40625000000000000       -3.1250000000000000E-002   1.0000000000000000     
          16           8  0.46875000000000000       -3.1250000000000000E-002   1.0000000000000000     
          17           8  0.53125000000000000       -3.1250000000000000E-002   1.0000000000000000     
           0           9 -0.53125000000000000        3.1250000000000000E-002   1.0000000000000000     
           1           9 -0.46875000000000000        3.1250000000000000E-002   1.0000000000000000     
